Stock,Close,S1,S1_Hits,S2,S2_Hits,S3,S3_Hits,S4,S4_Hits,S5,S5_Hits,R1,R1_Hits,R2,R2_Hits,R3,R3_Hits,R4,R4_Hits,R5,R5_Hits
TECHM,1435.2,1422.9,1,1415.6,3.0,1344.0,1.0,,,,,1435.5,3,1444.0,2.0,1454.85,4.0,1460.0,2.0,1476.8,1.0
TITAN,4372.5,4360.0,2,4353.0,1.0,4344.0,3.0,4330.3,2.0,4283.5,1.0,4395.0,1,4412.25,3.0,4441.7,1.0,,,,
TORNTPHARM,4457.0,4440.0,3,4416.27,4.0,4377.0,1.0,,,,,4477.4,2,4486.9,1.0,4496.4,2.0,4536.1,2.0,,
TRENT,3180.6,3171.0,3,3140.0,1.0,3115.0,1.0,3105.0,2.0,2923.2,2.0,3192.0,1,3218.8,2.0,3241.8,1.0,,,,
TVSMOTOR,3488.7,3476.67,3,3460.8,4.0,3445.05,4.0,3413.6,3.0,,,3496.6,1,,,,,,,,
ULTRACEMCO,11402.0,11368.0,5,11309.67,4.0,11235.0,1.0,,,,,11419.0,3,11460.0,1.0,11476.0,2.0,11511.0,1.0,,
UNIONBANK,176.62,174.5,1,174.11,4.0,173.08,2.0,169.4,1.0,168.54,1.0,176.75,3,177.6,1.0,,,,,,
VBL,512.95,504.1,1,,,,,,,,,526.35,2,529.95,4.0,536.1,2.0,539.4,3.0,543.35,3.0
VEDL,305.85,304.6,2,302.75,3.0,300.8,3.0,299.5,3.0,297.3,1.0,306.8,3,308.2,1.0,309.0,1.0,,,,
WIPRO,180.18,180.0,2,174.89,1.0,,,,,,,181.61,3,182.4,3.0,183.48,2.0,184.76,3.0,185.25,1.0
ZYDUSLIFE,1085.5,1082.75,2,1077.8,2.0,1072.4,5.0,1064.8,2.0,1060.6,3.0,1088.2,2,1091.6,1.0,,,,,,
